"gapminder","maps"
"Afghanistan","Afghanistan"
"Albania","Albania"
"Algeria","Algeria"
"Samoa","American Samoa"
NA,"Andaman Islands"
"Andorra","Andorra"
"Angola","Angola"
NA,"Anguilla"
NA,"Antarctica"
"Antigua and Barbuda","Antigua"
NA,"Aral Sea"
"Argentina","Argentina"
"Armena",NA
NA,"Aruba"
"Australia","Australia"
"Austria","Austria"
"Azerbaijan",NA
NA,"Azores"
"Bahamas","Bahamas"
"Bahrain","Bahrain"
"Bangladesh","Bangladesh"
"Barbados","Barbados"
"Antigua and Barbuda","Barbuda"
"Belarus"," "
"Belgium","Belgium"
"Belize","Belize"
"Benin","Benin"
"Bhutan","Bhutan"
NA,"Black Sea"
"Bolivia","Bolivia"
NA,"Bonaire"
"Bosnia and Herzegovina","Yugoslavia"
"Botswana","Botswana"
"Brazil","Brazil"
"Brunei","Brunei"
"Bulgaria","Bulgaria"
"Burkina Faso","Burkina Faso"
"Burundi","Burundi"
"United States","California"
"Cambodia","Cambodia"
"Cameroon","Cameroon"
"Canada","Canada"
NA,"Canary Islands"
"Cape Verde","Cape Verde"
NA,"Caspian Sea"
NA,"Cayman Islands"
"Central African Republic","Central African Republic"
"Chad","Chad"
NA,"Chagos Archipelago"
"Chile","Chile"
"China","China"
"Colombia","Colombia"
"Comoros","Comoros"
"Congo [Rebuplic]","Congo"
"Cook Islands","Cook Islands"
"Costa Rica","Costa Rica"
"Croatia","Yugoslavia"
"Cuba","Cuba"
NA,"Curacao"
"Cyprus","Cyprus"
"Czech Republic","Czechoslovakia"
"Denmark","Denmark"
"Djibouti","Djibouti"
"Dominica","Dominica"
"Dominican Republic","Dominican Republic"
"Ecuador","Ecuador"
"Egypt","Egypt"
"El Salvador","El Salvador"
"Eritria",NA
"Equatorial Guinea","Equatorial Guinea"
"Estonia",NA
"Ethiopia","Ethiopia"
NA,"Falkland Islands"
"Fiji","Fiji"
"Finland","Finland"
"France","France"
NA,"French Guiana"
NA,"French Polynesia"
"Gabon","Gabon"
"Gambia","Gambia"
NA,"Gaza Strip"
"Georgia",NA
"Germany","Germany"
"Ghana","Ghana"
NA,"Great Bitter Lake"
NA,"Great Lakes"
"Greece","Greece"
NA,"Greenland"
"Grenada","Grenada"
NA,"Guadeloupe"
"Guatemala","Guatemala"
"Guinea","Guinea"
"Guinea-Bissau","Guinea-Bissau"
"Guyana","Guyana"
"Haiti","Haiti"
"United States","Hawaii"
"Honduras","Honduras"
"Hungary","Hungary"
"Iceland","Iceland"
"India","India"
"Indonesia","Indonesia"
"Iran","Iran"
"Iraq","Iraq"
"Ireland","Ireland"
NA,"Irian Jaya"
NA,"Isle of Man"
NA,"Isle of Wight"
"Israel","Israel"
"Italy","Italy"
"Côte d'Ivoire","Ivory Coast"
"Jamaica","Jamaica"
"Japan","Japan"
"Jordan","Jordan"
"Kazakhstan",NA
"Kenya","Kenya"
"Kiribati","Kiribati"
"Kyrgyzstan",NA
"Kuwait","Kuwait"
NA,"Lacul Greaca"
NA,"Lake Albert"
NA,"Lake Fjerritslev"
NA,"Lake Kariba"
NA,"Lake Malawi"
NA,"Lake Pasvikelv"
NA,"Lake Tanganyika"
NA,"Lake Titicaca"
NA,"Lake Victoria"
"Laos","Laos"
"Latvia",NA
"Lebanon","Lebanon"
"Lesotho","Lesotho"
"Liberia","Liberia"
"Libya","Libya"
NA,"Liechtenstein"
