"","country","year","alcohol"
"139","Russia",1985,13.31
"328","Russia",1986,10.77
"517","Russia",1987,10.96
"706","Russia",1988,11.57
"895","Russia",1989,12.04
"980","Chile",1990,9.43
"997","Ecuador",1990,8.4
"1012","Greece",1990,12.51
"1084","Russia",1990,12.29
"1273","Russia",1991,12.67
"1423","Macedonia [FYROM]",1992,12.66
"1462","Russia",1992,13.23
"1622","Moldova",1993,18.1
"1651","Russia",1993,13.6
"1665","Slovenia",1993,24.19
"1690","Ukraine",1993,13
"1711","Austria",1994,12.62
"1749","Denmark",1994,14.36
"1761","Finland",1994,9.79
"1777","Iceland",1994,5.52
"1826","Norway",1994,6.26
"1840","Russia",1994,13.3
"1947","Estonia",1995,10.74
"1965","Hungary",1995,14.52
"2009","New Zealand",1995,9.19
"2046","South Africa",1995,10
"2103","Brazil",1996,14.01
"2242","Sweden",1996,8
"2620","Sweden",1998,8.2
"2998","Sweden",2000,8.4
"3187","Sweden",2001,9.1
"3376","Sweden",2002,9.9
"3565","Sweden",2003,10.2
"3754","Sweden",2004,10.5
"3781","Afghanistan",2005,0.02
"3782","Albania",2005,6.68
"3783","Algeria",2005,0.96
"3784","Andorra",2005,15.48
"3785","Angola",2005,5.4
"3786","Antigua and Barbuda",2005,7.22
"3787","Argentina",2005,10
"3788","Armenia",2005,11.35
"3789","Australia",2005,10.02
"3790","Austria",2005,13.24
"3791","Azerbaijan",2005,10.6
"3792","Bahamas",2005,8.76
"3793","Bahrain",2005,3.66
"3794","Bangladesh",2005,0.17
"3795","Barbados",2005,6.91
"3796","Belarus",2005,15.13
"3797","Belgium",2005,10.77
"3798","Belize",2005,6.07
"3799","Benin",2005,2.15
"3800","Bhutan",2005,0.55
"3801","Bolivia",2005,5.12
"3802","Bosnia and Herzegovina",2005,9.63
"3803","Botswana",2005,7.96
"3804","Brazil",2005,9.16
"3805","Brunei",2005,2.01
"3806","Bulgaria",2005,12.44
"3807","Burkina Faso",2005,6.98
"3808","Burundi",2005,9.47
"3809","Cambodia",2005,4.77
"3810","Cameroon",2005,7.57
"3811","Canada",2005,9.77
"3812","Cape Verde",2005,4.96
"3813","Central African Republic",2005,3.35
"3814","Chad",2005,4.38
"3815","Chile",2005,8.55
"3816","China",2005,5.91
"3817","Colombia",2005,6.17
"3818","Comoros",2005,0.36
"3819","Congo [DRC]",2005,3.3
"3820","Congo [Republic]",2005,4.2
"3821","Cook Islands",2005,3.7
"3822","Costa Rica",2005,5.55
"3823","Côte d'Ivoire",2005,6.48
"3824","Croatia",2005,15.11
"3825","Cuba",2005,5.51
"3826","Cyprus",2005,9.26
"3827","Czech Republic",2005,16.45
"3828","Denmark",2005,13.37
"3829","Djibouti",2005,1.87
"3830","Dominica",2005,7.84
"3831","Dominican Republic",2005,6.41
"3832","Ecuador",2005,9.38
"3833","Egypt",2005,0.37
"3834","El Salvador",2005,3.61
"3835","Equatorial Guinea",2005,6.08
"3836","Eritrea",2005,1.54
"3837","Estonia",2005,15.57
"3838","Ethiopia",2005,4.02
"3839","Fiji",2005,2.43
"3840","Finland",2005,12.52
"3841","France",2005,13.66
"3842","Gabon",2005,9.32
"3843","Gambia",2005,3.39
"3844","Georgia",2005,6.4
"3845","Germany",2005,12.81
"3846","Ghana",2005,2.97
"3847","Greece",2005,10.75
"3848","Grenada",2005,10.35
"3849","Guatemala",2005,4.03
"3850","Guinea",2005,0.76
"3851","Guinea-Bissau",2005,3.68
"3852","Guyana",2005,9.5
"3853","Haiti",2005,6.61
"3854","Honduras",2005,4.48
"3855","Hungary",2005,16.27
"3856","Iceland",2005,6.31
"3857","India",2005,2.59
"3858","Indonesia",2005,0.59
"3859","Iran",2005,1.02
"3860","Iraq",2005,0.4
"3861","Ireland",2005,14.41
"3862","Israel",2005,2.89
"3863","Italy",2005,10.68
"3864","Jamaica",2005,5
"3865","Japan",2005,8.03
"3866","Jordan",2005,0.71
"3867","Kazakhstan",2005,10.96
"3868","Kenya",2005,4.14
"3869","Kiribati",2005,3.71
"3870","Kuwait",2005,0.1
"3871","Kyrgyzstan",2005,5.09
"3872","Laos",2005,6.73
"3873","Latvia",2005,12.5
"3874","Lebanon",2005,2.23
"3875","Lesotho",2005,5.55
"3876","Liberia",2005,5.06
"3877","Libya",2005,0.11
"3878","Lithuania",2005,15.03
"3879","Luxembourg",2005,13.01
"3880","Macedonia [FYROM]",2005,8.51
"3881","Madagascar",2005,1.33
"3882","Malawi",2005,1.74
"3883","Malaysia",2005,0.82
"3884","Mali",2005,1.04
"3885","Malta",2005,4.27
"3886","Mauritania",2005,0.11
"3887","Mauritius",2005,3.72
"3888","Mexico",2005,8.42
"3889","Micronesia",2005,5.5
"3890","Moldova",2005,18.22
"3891","Mongolia",2005,3.24
"3892","Morocco",2005,1.46
"3893","Mozambique",2005,2.38
"3894","Myanmar [Burma]",2005,0.57
"3895","Namibia",2005,9.62
"3896","Nauru",2005,4.83
"3897","Nepal",2005,2.41
"3898","Netherlands",2005,10.05
"3899","New Zealand",2005,9.62
"3900","Nicaragua",2005,5.37
"3901","Niger",2005,0.34
"3902","Nigeria",2005,12.28
"3903","Niue",2005,9.85
"3904","North Korea",2005,18.28
"3905","Norway",2005,7.81
"3906","Oman",2005,0.94
"3907","Pakistan",2005,0.06
"3908","Palau",2005,10.1
"3909","Panama",2005,6.85
"3910","Papua New Guinea",2005,3.49
"3911","Paraguay",2005,7.88
"3912","Peru",2005,6.9
"3913","Philippines",2005,6.38
"3914","Poland",2005,13.25
"3915","Portugal",2005,14.55
"3916","Puerto Rico",2005,5.75
"3917","Qatar",2005,1.25
"3918","Romania",2005,15.3
"3919","Russia",2005,15.76
"3920","Rwanda",2005,9.8
"3921","Saint Kitts and Nevis",2005,9.43
"3922","Saint Lucia",2005,11.85
"3923","Saint Vincent and the Grenadines",2005,5.44
"3924","Samoa",2005,4.8
"3925","São Tomé and Príncipe",2005,8.74
"3926","Saudi Arabia",2005,0.25
"3927","Senegal",2005,0.6
"3928","Serbia",2005,11.09
"3929","Seychelles",2005,10.59
"3930","Sierra Leone",2005,9.72
"3931","Singapore",2005,1.55
"3932","Slovakia",2005,13.33
"3933","Slovenia",2005,15.19
"3934","Solomon Islands",2005,1.66
"3935","Somalia",2005,0.5
"3936","South Africa",2005,9.46
"3938","Spain",2005,11.62
"3939","Sri Lanka",2005,0.79
"3940","Sudan",2005,2.56
"3941","Suriname",2005,6.09
"3942","Swaziland",2005,5.7
"3943","Sweden",2005,10.1
"3944","Switzerland",2005,11.06
"3945","Syria",2005,1.43
"3946","Tajikistan",2005,3.39
"3947","Tanzania",2005,6.75
"3948","Thailand",2005,7.08
"3949","Timor-Leste",2005,0.86
"3950","Togo",2005,1.99
"3951","Tonga",2005,3.78
"3952","Trinidad and Tobago",2005,6.28
"3953","Tunisia",2005,1.29
"3954","Turkey",2005,2.87
"3955","Turkmenistan",2005,4.63
"3956","Tuvalu",2005,2.44
"3957","Uganda",2005,11.93
"3958","Ukraine",2005,15.6
"3959","United Arab Emirates",2005,0.54
"3960","United Kingdom",2005,13.37
"3961","United States",2005,9.44
"3962","Uruguay",2005,8.14
"3963","Uzbekistan",2005,3.54
"3964","Vanuatu",2005,0.93
"3965","Venezuela",2005,8.23
"3966","Vietnam",2005,3.77
"3967","Yemen",2005,0.2
"3968","Zambia",2005,3.85
"3969","Zimbabwe",2005,5.08
"4132","Sweden",2006,9.8
"4321","Sweden",2007,9.8
"4348","Afghanistan",2008,0.03
"4349","Albania",2008,7.29
"4350","Algeria",2008,0.69
"4351","Andorra",2008,10.17
"4352","Angola",2008,5.57
"4353","Antigua and Barbuda",2008,8.17
"4354","Argentina",2008,9.35
"4355","Armenia",2008,13.66
"4356","Australia",2008,10.21
"4357","Austria",2008,12.4
"4358","Azerbaijan",2008,13.34
"4359","Bahamas",2008,8.65
"4360","Bahrain",2008,4.19
"4361","Bangladesh",2008,0.17
"4362","Barbados",2008,6.42
"4363","Belarus",2008,18.85
"4364","Belgium",2008,10.41
"4365","Belize",2008,5.92
"4366","Benin",2008,2.08
"4367","Bhutan",2008,0.54
"4368","Bolivia",2008,5.78
"4369","Bosnia and Herzegovina",2008,9.6
"4370","Botswana",2008,6.97
"4371","Brazil",2008,10.08
"4372","Brunei",2008,1.86
"4373","Bulgaria",2008,11.4
"4374","Burkina Faso",2008,7.32
"4375","Burundi",2008,9.65
"4376","Cambodia",2008,4.71
"4377","Cameroon",2008,7.9
"4378","Canada",2008,10.2
"4379","Cape Verde",2008,4.98
"4380","Central African Republic",2008,3.17
"4381","Chad",2008,4.39
"4382","Chile",2008,8.81
"4383","China",2008,5.56
"4384","Colombia",2008,6.59
"4385","Comoros",2008,0.28
"4386","Congo [DRC]",2008,3.39
"4387","Congo [Republic]",2008,4.46
"4388","Cook Islands",2008,3.23
"4389","Costa Rica",2008,5.81
"4390","Côte d'Ivoire",2008,6.47
"4391","Croatia",2008,15
"4392","Cuba",2008,5.12
"4393","Cyprus",2008,8.84
"4394","Czech Republic",2008,16.47
"4395","Denmark",2008,12.02
"4396","Djibouti",2008,1.87
"4397","Dominica",2008,8.68
"4398","Dominican Republic",2008,6.28
"4399","Ecuador",2008,9.43
"4400","Egypt",2008,0.32
"4401","El Salvador",2008,3.99
"4402","Equatorial Guinea",2008,6.12
"4403","Eritrea",2008,1.64
"4404","Estonia",2008,17.24
"4405","Ethiopia",2008,4.1
"4406","Fiji",2008,2.76
"4407","Finland",2008,13.1
"4408","France",2008,12.48
"4409","Gabon",2008,9.46
"4410","Gambia",2008,3.58
"4411","Georgia",2008,6.66
"4412","Germany",2008,12.14
"4413","Ghana",2008,3.11
"4414","Greece",2008,11.01
"4415","Grenada",2008,10.71
"4416","Guatemala",2008,7.1
"4417","Guinea",2008,0.79
"4418","Guinea-Bissau",2008,3.9
"4419","Guyana",2008,8.7
"4420","Haiti",2008,5.92
"4421","Honduras",2008,4.43
"4422","Hungary",2008,16.12
"4423","Iceland",2008,7.38
"4424","India",2008,2.69
"4425","Indonesia",2008,0.56
"4426","Iran",2008,1.03
"4427","Iraq",2008,0.47
"4428","Ireland",2008,14.92
"4429","Israel",2008,2.52
"4430","Italy",2008,9.72
"4431","Jamaica",2008,5.17
"4432","Japan",2008,7.79
"4433","Jordan",2008,0.65
"4434","Kazakhstan",2008,11.1
"4435","Kenya",2008,3.88
"4436","Kiribati",2008,2.7
"4437","Kuwait",2008,0.1
"4438","Kyrgyzstan",2008,4.72
"4439","Laos",2008,6.99
"4440","Latvia",2008,13.45
"4441","Lebanon",2008,2.3
"4442","Lesotho",2008,5.56
"4443","Liberia",2008,5.07
"4444","Libya",2008,0.1
"4445","Lithuania",2008,16.3
"4446","Luxembourg",2008,12.84
"4447","Macedonia [FYROM]",2008,8.94
"4448","Madagascar",2008,1.32
"4449","Malawi",2008,1.44
"4450","Malaysia",2008,0.87
"4451","Mali",2008,0.99
"4452","Malta",2008,4.1
"4453","Mauritania",2008,0.11
"4454","Mauritius",2008,3.53
"4455","Mexico",2008,8.55
"4456","Micronesia",2008,5.25
"4457","Moldova",2008,23.01
"4458","Mongolia",2008,3.41
"4459","Morocco",2008,1.24
"4460","Mozambique",2008,2.27
"4461","Myanmar [Burma]",2008,0.58
"4462","Namibia",2008,12.09
"4463","Nauru",2008,4.81
"4464","Nepal",2008,2.42
"4465","Netherlands",2008,9.75
"4466","New Zealand",2008,9.99
"4467","Nicaragua",2008,5.21
"4468","Niger",2008,0.34
"4469","Nigeria",2008,12.72
"4470","Niue",2008,8.69
"4472","Norway",2008,8.35
"4473","Oman",2008,0.92
"4474","Pakistan",2008,0.05
"4475","Palau",2008,9.86
"4476","Panama",2008,7.3
"4477","Papua New Guinea",2008,3.64
"4478","Paraguay",2008,7.91
"4479","Peru",2008,6.53
"4480","Philippines",2008,6.08
"4481","Poland",2008,14.43
"4482","Portugal",2008,13.89
"4484","Qatar",2008,1.29
"4485","Romania",2008,16.15
"4486","Russia",2008,16.23
"4487","Rwanda",2008,9.99
"4488","Saint Kitts and Nevis",2008,10.62
"4489","Saint Lucia",2008,12.05
"4490","Saint Vincent and the Grenadines",2008,4.99
"4491","Samoa",2008,4.51
"4492","São Tomé and Príncipe",2008,8.45
"4493","Saudi Arabia",2008,0.34
"4494","Senegal",2008,0.51
"4495","Serbia",2008,12.21
"4496","Seychelles",2008,12.11
"4497","Sierra Leone",2008,9.48
"4498","Singapore",2008,1.54
"4499","Slovakia",2008,13.31
"4500","Slovenia",2008,14.94
"4501","Solomon Islands",2008,1.37
"4502","Somalia",2008,0.5
"4503","South Africa",2008,10.16
"4504","South Korea",2008,19.15
"4505","Spain",2008,11.83
"4506","Sri Lanka",2008,0.81
"4507","Sudan",2008,2.56
"4508","Suriname",2008,6.56
"4509","Swaziland",2008,5.05
"4510","Sweden",2008,9.5
"4511","Switzerland",2008,11.41
"4512","Syria",2008,1.49
"4513","Tajikistan",2008,3.39
"4514","Tanzania",2008,7.86
"4515","Thailand",2008,7.08
"4516","Timor-Leste",2008,0.74
"4517","Togo",2008,1.92
"4518","Tonga",2008,3.92
"4519","Trinidad and Tobago",2008,6.16
"4520","Tunisia",2008,1.05
"4521","Turkey",2008,3.02
"4522","Turkmenistan",2008,5
"4523","Tuvalu",2008,2.14
